沈杨,431321198507222709,18121631983,泰语翻译,pyu@gmail.com,3546346065488480,彩虹网络有限公司
李海燕,330483199010149715,13460831352,家政保洁,jielin@yahoo.com,373336100433934,七喜科技有限公司
庞慧,210103198804282737,13548063959,电声/音响工程师/技术员,xia25@hotmail.com,342446291199729,恒聪百汇信息有限公司
唐凯,220601196208128562,14512131714,安防主管,xia37@78.cn,375427002673343,巨奥网络有限公司
韩东,341226197712186073,18179298097,商务主管/专员,lingang@yongyong.cn,4821041228983164453,兰金电子网络有限公司
程桂芝,430281196711097643,15228815455,银行柜员,li88@mingjing.cn,5142469282858278,双敏电子信息有限公司
倪帆,520123199304035353,13001082814,测试员,mamin@juan.cn,3563797116617253,商软冠联传媒有限公司
巴淑珍,532328195902040601,14732575996,会务/会展主管,na91@gmail.com,30143446522734,菊风公司传媒有限公司
白秀华,33020319880702201X,15803780294,投资银行业务,fangjuan@ak.cn,570314747744,双敏电子网络有限公司
陈丽华,341702198207285370,13645379937,理疗师,weilong@yang.cn,6011305901347689,创联世纪科技有限公司
马伟,341722197012261863,18075910187,生产经理/车间主任,ewen@yz.cn,4563995261453,新格林耐特网络有限公司
张金凤,44070519450615901X,15696030915,咨询/顾问,tao08@linshen.cn,572773961584,新格林耐特科技有限公司
朱玉华,542231200203289932,15688400819,工业工程师,pingzou@hotmail.com,4908086817491,佳禾网络有限公司
王宁,530721198409116720,18886116606,日式厨师,yaomin@xiulan.cn,4689481270714,明腾信息有限公司
胡文,44140319870714712X,15657183557,副总经理/副总裁,wei75@yahoo.com,4301512065341,毕博诚信息有限公司
萧建平,450126193901115638,15190330740,养殖部主管,kongli@hotmail.com,348522408613424,易动力科技有限公司
辛平,61058219790409268X,15375417241,餐厅领班,weizou@jiahan.cn,630422385462,诺依曼软件传媒有限公司
袁涛,320281198104308916,15224491282,物料经理,gangyang@hotmail.com,349640243970525,创亿科技有限公司
黄帆,522629195403221230,18981124033,烫工,zlu@hotmail.com,4137677555298935652,凌云科技有限公司
冯欣,421300196309171098,14502112935,西点师,panyang@yuan.org,4812112752096,创汇信息有限公司
朱东,510922193702148757,13143334884,培训/课程顾问,glong@zhong.cn,4696128769263,华泰通安科技有限公司
尹冬梅,451121194507121582,18251797164,附件系统工程师,huangwei@hotmail.com,3574568085229520,群英信息有限公司
李桂英,140924195701204019,15966566675,培训产品开发,uluo@liao.net,4938604688236742,立信电子科技有限公司
张东,522728197702277566,13314100650,网络信息安全工程师,lkang@gmail.com,213130237523525,同兴万点传媒有限公司
徐丹,530381200012048576,14557831412,行政主厨/厨师长,wangjing@gmail.com,30504815280610,双敏电子传媒有限公司
梁辉,451300197412207992,15618354409,个人业务客户经理,qianghou@hotmail.com,180009550542172,创汇网络有限公司
洪玉梅,231003199412070755,18044175182,其他,agao@hotmail.com,3584893701968113,创联世纪信息有限公司
黄桂珍,640201200002179650,15988004364,配置管理工程师,wangyong@94.cn,180040169253133,网新恒天传媒有限公司
黄文,44060519950112283X,15594694943,技术总监/经理,yong47@deng.cn,4004081476168,快讯信息有限公司
孙丹丹,532929197606075525,13150018719,环保工程师,baiping@24.org,30039715444412,商软冠联信息有限公司
赵建平,653024194611252163,18864363164,技术总监/经理,weiyu@yahoo.com,3582920273121433,东方峻景网络有限公司
孟婷,630123195302194956,13713507862,艺术指导/舞台美术设计,chaohao@yahoo.com,4051129761978,惠派国际公司信息有限公司
樊佳,350322194612023979,13326722149,渠道/分销专员,weixie@yahoo.com,4707378314833375,图龙信息传媒有限公司
刘芳,110105198304081030,18678953648,美体师,phu@yahoo.com,676108142453,联软信息有限公司
潘金凤,513329193809237199,18838851145,仓库管理员,maming@gmail.com,4151589105797,创汇传媒有限公司
刘强,371100194112122618,18939054168,机场代表,xiashao@gang.cn,4725557780884115,襄樊地球村科技有限公司
杨玉珍,510521195108179068,14576342812,餐饮服务,pinghou@gmail.com,3561140325170636,新宇龙信息信息有限公司
胡凯,540101197507139482,13572651799,出版/发行,chenyang@03.cn,30588844569945,群英科技有限公司
王雷,411424193309075769,13505417626,其他,xiulan61@gmail.com,2294759242142505,泰麒麟传媒有限公司
薛海燕,500104196305111139,15165822959,房地产中介/置业顾问,maoyang@hotmail.com,3530560682586082,鸿睿思博网络有限公司
何桂芝,652327199502187590,13770232996,预订员,weiyu@fang.cn,378123684621174,浙大万朋网络有限公司
许英,450512196209065299,18299646112,动物营养/饲料研发,rcai@yahoo.com,4024533791995784,富罳传媒有限公司
